aa afar
ab abkhazian
af afrikaans
am amharic
ar arabic
as assamese
ay aymara
az azerbaijani
ba bashkir
be byelorussian
bg bulgarian
bh bihari
bi bislama
bn bengali
bo tibetan
br breton
ca catalan
co corsican
cs czech
cy welsh
da danish
de german
dz bhutani
el greek
en english
eo esperanto
es spanish
et estonian
eu basque
fa persian
fi finnish
fj fiji
fo faeroese
fr french
fy frisian
ga irish
gd gaelic
gl galician
gn guarani
gu gujarati
ha hausa
hi hindi
hr croatian
hu hungarian
hy armenian
ia interlingua
ie interlingue
ik inupiak
in indonesian
is icelandic
it italian
iw hebrew
ja japanese
ji yiddish
jw javanese
ka georgian
kk kazakh
kl greenlandic
km cambodian
kn kannada
ko korean
ks kashmiri
ku kurdish
ky kirghiz
la latin
ln lingala
lo laothian
lt lithuanian
lv latvian
mg malagasy
mi maori
mk macedonian
ml malayalam
mn mongolian
mo moldavian
mr marathi
ms malay
mt maltese
my burmese
na nauru
ne nepali
nl dutch
no norwegian
oc occitan
om oromo afan
or oriya
pa punjabi
pl polish
ps pashto
pt portuguese
qu quechua
rm rhaeto-romance
rn kirundi
ro romanian
ru russian
rw kinyarwanda
sa sanskrit
sd sindhi
sg sangro
sh serbo-croatian
si singhalese
sk slovak
sl slovenian
sm samoan
sn shona
so somali
sq albanian
sr serbian
ss siswati
st sesotho
su sudanese
sv swedish
sw swahili
ta tamil
te tegulu
tg tajik
th thai
ti tigrinya
tk turkmen
tl tagalog
tn setswana
to tonga
tr turkish
ts tsonga
tt tatar
tw twi
uk ukrainian
ur urdu
uz uzbek
vi vietnamese
vo volapuk
wo wolof
xh xhosa
yo yoruba
zh chinese
zu zulu
